El PP canario exige a Sánchez un plan turístico y el pago de la deuda estatal https://t.co/TBhBffYx8s,0
L A   V I O L E N C I A   D E   G É N E R O   E X I S T Ey quien la niega es C Ó M P L I C E https://t.co/pAyOTkyIq5,0
"Según la ultraderecha, no hay dinero para los ERTE por las furgonetas y buzones arcoiris de Correos... que costaron 12.500€.De estos 21.000 millones que faltan en las arcas públicas no se han quejado, por lo que sea. 🤔🔗 https://t.co/PwNKhGMenL https://t.co/YwwcqCSzsF",0
💬 @cucagamarra exige al Gobierno reforzar las medidas en #Barajas porque “no está funcionando la detección de los casos.”https://t.co/l7c7HhE9WI,0
"El FMI eleva la caída del PIB de #España en 2020 del 8% al 12,8% tras el confinamiento ¿No salíamos más fuertes según #AlóPresidente ? https://t.co/KAnq8x8zOx vía @CincoDiascom",1
"Eurostat acaba de sacar un documento con datos q llama ""preliminares"" de exceso de mortalidad hasta abril q solo incluye 21 de 28 países (incluido España). Luego habrá quienes hagan alegremente comparaciones con otros ""datos"" https://t.co/Smr8BLHnUE #Eurostat #StatisticsExplained",1
"La #ReconstrucciónJusta es también hablar del futuro del turismo en @Congreso_Es. Medidas como los ERTE, líneas de avales y prestaciones para autónomos, puestas en marcha por el Gobierno de @sanchezcastejon, han protegido al sector durante la crisis y facilitan su reactivación https://t.co/D26LJji46I",0
"Las aguas de baño de las playas andaluzas presentan las condiciones sanitarias adecuadas. #Andalucía es la comunidad con mayor número de playas y kilómetros controlados de costa: 581km, de los que se han obtenido 354 puntos de muestro. ✅ #AndalucíaSegurahttps://t.co/nN6Y9YeYbl",1
Lamento la muerte por #COVID__19 de una persona en una residencia de Alicante. DEP. En total son ya 1.470 las víctimas en la Comunidad Valenciana por culpa de la pandemia. La sociedad no debe bajar la guardia. Nos jugamos mucho. https://t.co/z9ilsJBg2f,1
"Proponen una moción q en 48h se queda totalmente descafeinada. Eliminan los plazos para cumplir acuerdos, eliminan la fiscalidad diferenciada y eliminan cualquier tema que incomode al gobierno. Ese es el compromiso d Tomás Guitarte, además esta documentado https://t.co/mhmDvaoV1S",1
